composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
Mozart,Mozart - Grand Menuetto EHo.124,134,956,0.0,13,True,./metadata/5/4804047.json,./mxl/13/32/QmVMVnU3HmwAa9DUcvHGG42ZUY35tYWBitDdZimdDMxPU9.mxl
Mozart.,Mozart - FIN CH'AN DAL VINO,32,110,0.0,12,False,./metadata/1/4710248.json,./mxl/3/55/QmdYDYyEt4m9oLLGa4TxgwtHC8QDHQZHPahEdJUC4CqmTP.mxl
Mozart,Mozart - WALTZ,72,264,0.0,12,False,./metadata/6/4917315.json,./mxl/11/23/QmThdFdr3gtJaDccy38zp3ovgdpj27esp8i4AdWgEof9Hn.mxl
W. A. Mozart,The Blacksmith.,13,58,0.0,12,False,./metadata/7/4974275.json,./mxl/4/3/Qme4pqqXwS8bXvUjLpNN2pPYfcciEPLxrgAZEnxAQUGkbc.mxl
Tune is Rondo Alla Turca by Mozart,Good Man of Cambridge,49,206,0.0,11,False,./metadata/4/4901872.json,./mxl/16/24/QmYHChjvN2jb86wyPKU1zioh5V9QBVNLnPN7pcm7egLcho.mxl
Mozart,Mozart - German Cotillion. EHo.091,24,152,0.0,10,True,./metadata/1/5150696.json,./mxl/12/39/QmUQKGWVd9KL34xP683YzKGEgg1grq4TF34zMVmtRvx5NA.mxl
Mozart,Mozart - SLOW AIR,26,72,0.0,9,False,./metadata/7/4965462.json,./mxl/7/52/QmPxw5GTUp4xdJWzi4uYV8tsLPUtrUctjx25eLNjFLn1BY.mxl
Mozart.,Mozart - FIN CH'AN DAL VINO,32,110,0.0,9,False,./metadata/4/4687659.json,./mxl/0/31/Qmamm43zgdKRx1cVGLZ5FkeMgR3nshF8fyNReJ7g2h4FaC.mxl
W.A.Mozart (The Magic Flute),FowlerThe. JC.178,17,87,0.0,8,False,./metadata/3/4608719.json,./mxl/2/2/Qmc3t11xxiRVxxA5E4p8xZWF2Xm1dKUYrU9k5BZqckeiEb.mxl
W.A. Mozart,Spring Allegro,80,130,0.0,8,False,./metadata/3/5062883.json,./mxl/9/43/QmRSPP4g4TNhpAwLJ6qf8HurnemJG2T5KMFzbSZKvuie5z.mxl
Mozart,Mozart - German Cotillion. EHo.091,24,152,0.0,8,False,./metadata/1/4610838.json,./mxl/7/37/QmPP9kRrvhSnWqqkbGXB3AESgN8j5LmVwKs2thpLke48gy.mxl
Mozart,Mozart - Marcia Clemenza di Titto EHo.058,42,216,0.0,8,True,./metadata/8/4837234.json,./mxl/4/12/QmeBfKXmosSkUwaTSnwpXiA52UPkHts8bTUyum7fpg7BYU.mxl
Mozart,Mozart - Mozarts Military Waltz. CJF.007,87,262,0.0,8,False,./metadata/1/4897525.json,./mxl/14/33/QmWnhwQpEMtetA3xqLJAu8UmQLH9gUEGtsozURNLD8Phoz.mxl
Mozart,Mozart - WALTZ,104,344,0.0,8,False,./metadata/5/4703945.json,./mxl/15/26/QmXjesjY65kgTsHmWdmRVdY7UQ82d2t2mNfehKQuNXLMZs.mxl
Mozart,Mozart - Waltz. CJF.196,48,177,0.0,7,False,./metadata/1/5010116.json,./mxl/11/43/QmTSJUyY8G7uU7E9z1fheibHJAHh2RotxTimBW1RkmDhSt.mxl
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart - Theme,16,36,0.0,7,False,./metadata/9/4945500.json,./mxl/2/41/QmcRh7aWVks1H8droe61s661orPZSRCKfmMmArW7N363ro.mxl
Mozart,Mozart - Mozarts Military Waltz. CJF.007,61,184,0.0,7,False,./metadata/7/4685346.json,./mxl/0/24/QmaH2619HgNCeGgpzKXKzsBGbPBxiPBTdfv7MxNx8NR9KX.mxl
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart - Theme,32,74,0.0,6,True,./metadata/2/4675915.json,./mxl/6/23/QmNhtMKPDzS8z8TW8HzBkvhPXSpB3okroGduGvGYMzAUxE.mxl
Mozart,Mozart - WALTZ,72,264,0.0,6,False,./metadata/5/4657883.json,./mxl/17/32/QmZMez6FdPzb6Rp1HhXz9q5hSTbcbEsr95NB8EtH46WARa.mxl
Mozart,Mozart - SLOW AIR,26,72,0.0,6,False,./metadata/7/5122117.json,./mxl/8/48/QmQvZbg4oKR86SUoXAQJ8bYTXJuXcKY247B15gCYcMUBNA.mxl
[Wolfgang Amadeus] Mozart(?),Waltz by Mozart. Roose.0848,77,340,0.0,6,False,./metadata/5/4711555.json,./mxl/11/47/QmTU5KhnYeWnzPpybL58gkqNT82KeDhdQxW6yDj226jwPZ.mxl
Mozart,Mozart - Non pa Andri EHo.060,24,153,0.0,5,False,./metadata/8/4701521.json,./mxl/17/2/QmZ3JYptWApWrVn9Pz818oATb7AYmm2mLaEnDDPB4iNeaj.mxl
Mozart KV 5362 1788,Michael Turner's Waltz,36,134,0.0,5,False,./metadata/2/4954000.json,./mxl/12/55/QmUY2y2nFj3VAPBXWEyRrvYXkbkvctJH8NPSDxMWQwybyt.mxl
Mozart,Mozart - WALTZ,104,344,0.0,5,False,./metadata/9/4927696.json,./mxl/11/47/QmTUfy47GoPwwAeYFQbWhEBCAfgaxhRenNwmKMDvHSd55B.mxl
Mozart,Mozart - Mozarts Military Waltz. CJF.007,92,266,0.0,4,False,./metadata/1/4720908.json,./mxl/0/38/Qmaq6R3UTCjB4yezWuVsh4e9r3G4xJqHtVEv2MUThzTbbk.mxl
Mozart,Mozart - Waltz. CJF.196,59,229,0.0,3,False,./metadata/4/4705687.json,./mxl/7/18/QmPEHpgEHq5Ka3MJHEyri3ZukZC4HC9BgoaV6qXhdTnZac.mxl
W. A. Mozart,the Blacksmith.,13,58,0.0,3,False,./metadata/8/5130864.json,./mxl/15/15/QmXdL1SKgn4bpCUfU8yS8fg6jS7RBhCShcCXzG2C1KALzV.mxl
